Day,Date,WeekTheme,FocusAreas,TopTasks,ExpectedDeliverable
1,2026-01-16,Foundation,Backend; Integrations; Deployment; Security,"Plan the week: confirm scope for ""Foundation"" and update Jira/Trello board | Implement/verify backend endpoints and data validation for current theme | Review and merge PRs; ensure migrations/seeds work end-to-end | Update deployment artifacts (Docker/GitLab CI/env) as needed | Write/maintain unit tests for any changed module",Green tests + working feature branch for Foundation
2,2026-01-17,Foundation,Backend; Integrations; Deployment; Security,Implement/verify backend endpoints and data validation for current theme | Review and merge PRs; ensure migrations/seeds work end-to-end | Update deployment artifacts (Docker/GitLab CI/env) as needed | Write/maintain unit tests for any changed module,Green tests + working feature branch for Foundation
3,2026-01-18,Foundation,Backend; Integrations; Deployment; Security,Implement/verify backend endpoints and data validation for current theme | Review and merge PRs; ensure migrations/seeds work end-to-end | Update deployment artifacts (Docker/GitLab CI/env) as needed | Write/maintain unit tests for any changed module,Green tests + working feature branch for Foundation
4,2026-01-19,Foundation,Backend; Integrations; Deployment; Security,Implement/verify backend endpoints and data validation for current theme | Review and merge PRs; ensure migrations/seeds work end-to-end | Update deployment artifacts (Docker/GitLab CI/env) as needed | Write/maintain unit tests for any changed module,Green tests + working feature branch for Foundation
5,2026-01-20,Foundation,Backend; Integrations; Deployment; Security,Implement/verify backend endpoints and data validation for current theme | Review and merge PRs; ensure migrations/seeds work end-to-end | Update deployment artifacts (Docker/GitLab CI/env) as needed | Write/maintain unit tests for any changed module | Friday demo: prepare demo script and record 2-minute walkthrough,Green tests + working feature branch for Foundation
6,2026-01-21,Foundation,Backend; Integrations; Deployment; Security,Implement/verify backend endpoints and data validation for current theme | Review and merge PRs; ensure migrations/seeds work end-to-end | Update deployment artifacts (Docker/GitLab CI/env) as needed | Write/maintain unit tests for any changed module,Green tests + working feature branch for Foundation
7,2026-01-22,Foundation,Backend; Integrations; Deployment; Security,"Implement/verify backend endpoints and data validation for current theme | Review and merge PRs; ensure migrations/seeds work end-to-end | Update deployment artifacts (Docker/GitLab CI/env) as needed | Write/maintain unit tests for any changed module | Sunday cleanup: close tickets, update docs, prep next week backlog",Green tests + working feature branch for Foundation
8,2026-01-23,Core data,Backend; Integrations; Deployment; Security,"Plan the week: confirm scope for ""Core data"" and update Jira/Trello board | Implement/verify backend endpoints and data validation for current theme | Review and merge PRs; ensure migrations/seeds work end-to-end | Update deployment artifacts (Docker/GitLab CI/env) as needed | Write/maintain unit tests for any changed module",Green tests + working feature branch for Core data
9,2026-01-24,Core data,Backend; Integrations; Deployment; Security,Implement/verify backend endpoints and data validation for current theme | Review and merge PRs; ensure migrations/seeds work end-to-end | Update deployment artifacts (Docker/GitLab CI/env) as needed | Write/maintain unit tests for any changed module,Green tests + working feature branch for Core data
10,2026-01-25,Core data,Backend; Integrations; Deployment; Security,Implement/verify backend endpoints and data validation for current theme | Review and merge PRs; ensure migrations/seeds work end-to-end | Update deployment artifacts (Docker/GitLab CI/env) as needed | Write/maintain unit tests for any changed module,Green tests + working feature branch for Core data
11,2026-01-26,Core data,Backend; Integrations; Deployment; Security,Implement/verify backend endpoints and data validation for current theme | Review and merge PRs; ensure migrations/seeds work end-to-end | Update deployment artifacts (Docker/GitLab CI/env) as needed | Write/maintain unit tests for any changed module,Green tests + working feature branch for Core data
12,2026-01-27,Core data,Backend; Integrations; Deployment; Security,Implement/verify backend endpoints and data validation for current theme | Review and merge PRs; ensure migrations/seeds work end-to-end | Update deployment artifacts (Docker/GitLab CI/env) as needed | Write/maintain unit tests for any changed module | Friday demo: prepare demo script and record 2-minute walkthrough,Green tests + working feature branch for Core data
13,2026-01-28,Core data,Backend; Integrations; Deployment; Security,Implement/verify backend endpoints and data validation for current theme | Review and merge PRs; ensure migrations/seeds work end-to-end | Update deployment artifacts (Docker/GitLab CI/env) as needed | Write/maintain unit tests for any changed module,Green tests + working feature branch for Core data
14,2026-01-29,Core data,Backend; Integrations; Deployment; Security,"Implement/verify backend endpoints and data validation for current theme | Review and merge PRs; ensure migrations/seeds work end-to-end | Update deployment artifacts (Docker/GitLab CI/env) as needed | Write/maintain unit tests for any changed module | Sunday cleanup: close tickets, update docs, prep next week backlog",Green tests + working feature branch for Core data
