Day,Date,Theme,Role,Daily Focus,Tasks (bullet),Deliverable
1,2026-01-16,Foundation,"Product/UX + frontend (took over Smit assignments). Owns UI polish, bilingual copy, SEO, viral widgets, and landing pages.",Audit UI against 7-second clarity rule; rewrite home hero EN/FR,"Audit UI against 7-second clarity rule; rewrite home hero EN/FR • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",UI build + screenshots / PR link
2,2026-01-17,Foundation,"Product/UX + frontend (took over Smit assignments). Owns UI polish, bilingual copy, SEO, viral widgets, and landing pages.","Implement responsive layout, navbar/footer, and language auto-detect UX","Implement responsive layout, navbar/footer, and language auto-detect UX • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",UI build + screenshots / PR link
3,2026-01-18,Foundation,"Product/UX + frontend (took over Smit assignments). Owns UI polish, bilingual copy, SEO, viral widgets, and landing pages.","Create component library for cards, tables, forms, and status badges","Create component library for cards, tables, forms, and status badges • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",UI build + screenshots / PR link
4,2026-01-19,Foundation,"Product/UX + frontend (took over Smit assignments). Owns UI polish, bilingual copy, SEO, viral widgets, and landing pages.",Add privacy policy/confidentiality pages and cookie notice UI,"Add privacy policy/confidentiality pages and cookie notice UI • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",UI build + screenshots / PR link
5,2026-01-20,Foundation,"Product/UX + frontend (took over Smit assignments). Owns UI polish, bilingual copy, SEO, viral widgets, and landing pages.",Audit UI against 7-second clarity rule; rewrite home hero EN/FR,"Audit UI against 7-second clarity rule; rewrite home hero EN/FR • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",UI build + screenshots / PR link
6,2026-01-21,Foundation,"Product/UX + frontend (took over Smit assignments). Owns UI polish, bilingual copy, SEO, viral widgets, and landing pages.","Implement responsive layout, navbar/footer, and language auto-detect UX","Implement responsive layout, navbar/footer, and language auto-detect UX • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",UI build + screenshots / PR link
7,2026-01-22,Foundation,"Product/UX + frontend (took over Smit assignments). Owns UI polish, bilingual copy, SEO, viral widgets, and landing pages.","Create component library for cards, tables, forms, and status badges","Create component library for cards, tables, forms, and status badges • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",UI build + screenshots / PR link
8,2026-01-23,Foundation,"Product/UX + frontend (took over Smit assignments). Owns UI polish, bilingual copy, SEO, viral widgets, and landing pages.",Add privacy policy/confidentiality pages and cookie notice UI,"Add privacy policy/confidentiality pages and cookie notice UI • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",UI build + screenshots / PR link
9,2026-01-24,Foundation,"Product/UX + frontend (took over Smit assignments). Owns UI polish, bilingual copy, SEO, viral widgets, and landing pages.",Audit UI against 7-second clarity rule; rewrite home hero EN/FR,"Audit UI against 7-second clarity rule; rewrite home hero EN/FR • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",UI build + screenshots / PR link
10,2026-01-25,Foundation,"Product/UX + frontend (took over Smit assignments). Owns UI polish, bilingual copy, SEO, viral widgets, and landing pages.","Implement responsive layout, navbar/footer, and language auto-detect UX","Implement responsive layout, navbar/footer, and language auto-detect UX • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",UI build + screenshots / PR link
