Day,Date,Phase,Role focus,Top 5 tasks,Expected deliverable(s)
1,2026-01-16,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
2,2026-01-17,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
3,2026-01-18,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
4,2026-01-19,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
5,2026-01-20,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
6,2026-01-21,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
7,2026-01-22,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Weekly demo + merged PRs + updated changelog
8,2026-01-23,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
9,2026-01-24,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
10,2026-01-25,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content ops, marketing deliverables; assists Smit when overloaded.","Write QA plan + acceptance criteria mapping to spec; Set up test matrix + bug template + daily command report workflow; Create operations templates (90-day plans, reporting); Prepare marketing asset framework + free-footage sourcing guide; Assist Smit with CI/CD pipeline scaffolding",Daily update + PR(s) or artifact(s) linked in Command Report
