Day,Channel,Format,Goal,Core message,CTA,Asset needed,Notes
1,TikTok,Video 15-30s,Awareness,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
2,Instagram Reels,Carousel,Engagement,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
3,YouTube Shorts,Static,Lead,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
4,Facebook,Thread,Sale,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
5,LinkedIn,Email,Review,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
6,Email,WhatsApp pitch,Referral,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
7,WhatsApp,Video 15-30s,Awareness,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
8,TikTok,Carousel,Engagement,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
9,Instagram Reels,Static,Lead,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
10,YouTube Shorts,Thread,Sale,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
11,Facebook,Email,Review,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
12,LinkedIn,WhatsApp pitch,Referral,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
13,Email,Video 15-30s,Awareness,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
14,WhatsApp,Carousel,Engagement,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
15,TikTok,Static,Lead,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
16,Instagram Reels,Thread,Sale,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
17,YouTube Shorts,Email,Review,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
18,Facebook,WhatsApp pitch,Referral,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
19,LinkedIn,Video 15-30s,Awareness,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
20,Email,Carousel,Engagement,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
21,WhatsApp,Static,Lead,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
22,TikTok,Thread,Sale,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
23,Instagram Reels,Email,Review,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
24,YouTube Shorts,WhatsApp pitch,Referral,(auto-generated per book),(auto-generated per channel),(stock footage/images),Localize EN/FR
