Day,Date,WeekTheme,FocusAreas,TopTasks,ExpectedDeliverable
1,2026-01-16,Foundation,Frontend; UX; Copy; SEO,"Plan the week: confirm scope for ""Foundation"" and update Jira/Trello board | Polish UI flows for current theme (bilingual, responsive, 7-second clarity) | Update UI copy EN/FR + CTAs + microcopy; confirm auto-detect behavior | Add/iterate components/widgets related to theme; check mobile first | Log UX issues and open tickets with screenshots and acceptance criteria",Updated UI pages + copy pack for Foundation
2,2026-01-17,Foundation,Frontend; UX; Copy; SEO,"Polish UI flows for current theme (bilingual, responsive, 7-second clarity) | Update UI copy EN/FR + CTAs + microcopy; confirm auto-detect behavior | Add/iterate components/widgets related to theme; check mobile first | Log UX issues and open tickets with screenshots and acceptance criteria",Updated UI pages + copy pack for Foundation
3,2026-01-18,Foundation,Frontend; UX; Copy; SEO,"Polish UI flows for current theme (bilingual, responsive, 7-second clarity) | Update UI copy EN/FR + CTAs + microcopy; confirm auto-detect behavior | Add/iterate components/widgets related to theme; check mobile first | Log UX issues and open tickets with screenshots and acceptance criteria",Updated UI pages + copy pack for Foundation
4,2026-01-19,Foundation,Frontend; UX; Copy; SEO,"Polish UI flows for current theme (bilingual, responsive, 7-second clarity) | Update UI copy EN/FR + CTAs + microcopy; confirm auto-detect behavior | Add/iterate components/widgets related to theme; check mobile first | Log UX issues and open tickets with screenshots and acceptance criteria",Updated UI pages + copy pack for Foundation
5,2026-01-20,Foundation,Frontend; UX; Copy; SEO,"Polish UI flows for current theme (bilingual, responsive, 7-second clarity) | Update UI copy EN/FR + CTAs + microcopy; confirm auto-detect behavior | Add/iterate components/widgets related to theme; check mobile first | Log UX issues and open tickets with screenshots and acceptance criteria | Friday demo: prepare demo script and record 2-minute walkthrough",Updated UI pages + copy pack for Foundation
6,2026-01-21,Foundation,Frontend; UX; Copy; SEO,"Polish UI flows for current theme (bilingual, responsive, 7-second clarity) | Update UI copy EN/FR + CTAs + microcopy; confirm auto-detect behavior | Add/iterate components/widgets related to theme; check mobile first | Log UX issues and open tickets with screenshots and acceptance criteria",Updated UI pages + copy pack for Foundation
7,2026-01-22,Foundation,Frontend; UX; Copy; SEO,"Polish UI flows for current theme (bilingual, responsive, 7-second clarity) | Update UI copy EN/FR + CTAs + microcopy; confirm auto-detect behavior | Add/iterate components/widgets related to theme; check mobile first | Log UX issues and open tickets with screenshots and acceptance criteria | Sunday cleanup: close tickets, update docs, prep next week backlog",Updated UI pages + copy pack for Foundation
8,2026-01-23,Core data,Frontend; UX; Copy; SEO,"Plan the week: confirm scope for ""Core data"" and update Jira/Trello board | Polish UI flows for current theme (bilingual, responsive, 7-second clarity) | Update UI copy EN/FR + CTAs + microcopy; confirm auto-detect behavior | Add/iterate components/widgets related to theme; check mobile first | Log UX issues and open tickets with screenshots and acceptance criteria",Updated UI pages + copy pack for Core data
9,2026-01-24,Core data,Frontend; UX; Copy; SEO,"Polish UI flows for current theme (bilingual, responsive, 7-second clarity) | Update UI copy EN/FR + CTAs + microcopy; confirm auto-detect behavior | Add/iterate components/widgets related to theme; check mobile first | Log UX issues and open tickets with screenshots and acceptance criteria",Updated UI pages + copy pack for Core data
10,2026-01-25,Core data,Frontend; UX; Copy; SEO,"Polish UI flows for current theme (bilingual, responsive, 7-second clarity) | Update UI copy EN/FR + CTAs + microcopy; confirm auto-detect behavior | Add/iterate components/widgets related to theme; check mobile first | Log UX issues and open tickets with screenshots and acceptance criteria",Updated UI pages + copy pack for Core data
11,2026-01-26,Core data,Frontend; UX; Copy; SEO,"Polish UI flows for current theme (bilingual, responsive, 7-second clarity) | Update UI copy EN/FR + CTAs + microcopy; confirm auto-detect behavior | Add/iterate components/widgets related to theme; check mobile first | Log UX issues and open tickets with screenshots and acceptance criteria",Updated UI pages + copy pack for Core data
12,2026-01-27,Core data,Frontend; UX; Copy; SEO,"Polish UI flows for current theme (bilingual, responsive, 7-second clarity) | Update UI copy EN/FR + CTAs + microcopy; confirm auto-detect behavior | Add/iterate components/widgets related to theme; check mobile first | Log UX issues and open tickets with screenshots and acceptance criteria | Friday demo: prepare demo script and record 2-minute walkthrough",Updated UI pages + copy pack for Core data
