Day,Date,WeekTheme,FocusAreas,TopTasks,ExpectedDeliverable
1,2026-01-16,Foundation,QA; Ops; Marketing; Overflow,"Plan the week: confirm scope for ""Foundation"" and update Jira/Trello board | Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Foundation
2,2026-01-17,Foundation,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Foundation
3,2026-01-18,Foundation,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Foundation
4,2026-01-19,Foundation,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Foundation
5,2026-01-20,Foundation,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Friday demo: prepare demo script and record 2-minute walkthrough",QA log + ops/marketing artifacts for Foundation
6,2026-01-21,Foundation,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Foundation
7,2026-01-22,Foundation,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Sunday cleanup: close tickets, update docs, prep next week backlog",QA log + ops/marketing artifacts for Foundation
8,2026-01-23,Core data,QA; Ops; Marketing; Overflow,"Plan the week: confirm scope for ""Core data"" and update Jira/Trello board | Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Core data
9,2026-01-24,Core data,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Core data
10,2026-01-25,Core data,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Core data
11,2026-01-26,Core data,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Core data
12,2026-01-27,Core data,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %) | Friday demo: prepare demo script and record 2-minute walkthrough",QA log + ops/marketing artifacts for Core data
13,2026-01-28,Core data,QA; Ops; Marketing; Overflow,"Run daily smoke/regression checklist; log bugs with repro steps | Prepare marketing/ops artifacts for theme (templates, scripts, checklists) | If Smit overloaded, pick 1 backend task and complete with tests | Update command report and KPIs (bugs open/closed, blockers, progress %)",QA log + ops/marketing artifacts for Core data
