group_name,language,region,genre,purpose,posting_rules,best_times_local,cooldown_hours
RP-Nigeria-Romance-Audiobook-001,fr,Nigeria,Romance,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Nigeria-Fantasy-Audiobook-002,fr,Nigeria,Fantasy,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Cote d'Ivoire-Romance-KDP Tips-003,en,Cote d'Ivoire,Romance,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Global-History-KDP Tips-004,en,Global,History,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Nigeria-Thriller-Review-005,en,Nigeria,Thriller,Review,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Canada-Fantasy-KDP Tips-006,fr,Canada,Fantasy,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Nigeria-Finance-BookTok-007,fr,Nigeria,Finance,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-US-Fantasy-KDP Tips-008,fr,US,Fantasy,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-UK-Health-Giveaway-009,en,UK,Health,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-South Africa-Poetry-Audiobook-010,en,South Africa,Poetry,Audiobook,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Nigeria-Business-KDP Tips-011,fr,Nigeria,Business,KDP Tips,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,12:00-14:00;18:00-21:00,72
RP-Cote d'Ivoire-History-Giveaway-012,en,Cote d'Ivoire,History,Giveaway,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,08:00-10:00;20:00-23:00,72
RP-Cote d'Ivoire-Thriller-BookTok-013,fr,Cote d'Ivoire,Thriller,BookTok,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
RP-Gabon-Finance-Launch-014,fr,Gabon,Finance,Launch,No spam; 1 post/day; include cover+blurb+link; be respectful; no piracy.,07:00-09:00;19:00-22:00,72
