Day,Date,Theme,Role,Daily Focus,Tasks (bullet),Deliverable
1,2026-01-16,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Write QA test plan + acceptance criteria from spec,"Write QA test plan + acceptance criteria from spec • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
2,2026-01-17,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Set up test data sets for books/authors (EN/FR) and edge cases,"Set up test data sets for books/authors (EN/FR) and edge cases • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
3,2026-01-18,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Create ops templates: Daily Command Report, weekly status, risk log","Create ops templates: Daily Command Report, weekly status, risk log • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
4,2026-01-19,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Create free-footage sourcing guidelines + licensing checklist,"Create free-footage sourcing guidelines + licensing checklist • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
5,2026-01-20,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Write QA test plan + acceptance criteria from spec,"Write QA test plan + acceptance criteria from spec • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
6,2026-01-21,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Set up test data sets for books/authors (EN/FR) and edge cases,"Set up test data sets for books/authors (EN/FR) and edge cases • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
7,2026-01-22,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Create ops templates: Daily Command Report, weekly status, risk log","Create ops templates: Daily Command Report, weekly status, risk log • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
8,2026-01-23,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Create free-footage sourcing guidelines + licensing checklist,"Create free-footage sourcing guidelines + licensing checklist • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
9,2026-01-24,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Write QA test plan + acceptance criteria from spec,"Write QA test plan + acceptance criteria from spec • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
10,2026-01-25,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Set up test data sets for books/authors (EN/FR) and edge cases,"Set up test data sets for books/authors (EN/FR) and edge cases • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
11,2026-01-26,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.","Create ops templates: Daily Command Report, weekly status, risk log","Create ops templates: Daily Command Report, weekly status, risk log • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
12,2026-01-27,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Create free-footage sourcing guidelines + licensing checklist,"Create free-footage sourcing guidelines + licensing checklist • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
13,2026-01-28,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Write QA test plan + acceptance criteria from spec,"Write QA test plan + acceptance criteria from spec • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
14,2026-01-29,Foundation,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Set up test data sets for books/authors (EN/FR) and edge cases,"Set up test data sets for books/authors (EN/FR) and edge cases • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
15,2026-01-30,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Run daily smoke tests and log bugs with repro steps,"Run daily smoke tests and log bugs with repro steps • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
16,2026-01-31,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Assist Smit on backend tickets when blockers appear,"Assist Smit on backend tickets when blockers appear • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
17,2026-02-01,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Draft 5 ad scripts EN + FR + shotlists and posting plan,"Draft 5 ad scripts EN + FR + shotlists and posting plan • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
18,2026-02-02,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Create “done-for-you” service packages and internal SOPs,"Create “done-for-you” service packages and internal SOPs • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
19,2026-02-03,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Run daily smoke tests and log bugs with repro steps,"Run daily smoke tests and log bugs with repro steps • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
20,2026-02-04,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Assist Smit on backend tickets when blockers appear,"Assist Smit on backend tickets when blockers appear • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
21,2026-02-05,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Draft 5 ad scripts EN + FR + shotlists and posting plan,"Draft 5 ad scripts EN + FR + shotlists and posting plan • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
22,2026-02-06,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Create “done-for-you” service packages and internal SOPs,"Create “done-for-you” service packages and internal SOPs • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
23,2026-02-07,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Run daily smoke tests and log bugs with repro steps,"Run daily smoke tests and log bugs with repro steps • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
24,2026-02-08,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Assist Smit on backend tickets when blockers appear,"Assist Smit on backend tickets when blockers appear • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
25,2026-02-09,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Draft 5 ad scripts EN + FR + shotlists and posting plan,"Draft 5 ad scripts EN + FR + shotlists and posting plan • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
26,2026-02-10,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Create “done-for-you” service packages and internal SOPs,"Create “done-for-you” service packages and internal SOPs • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
27,2026-02-11,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Run daily smoke tests and log bugs with repro steps,"Run daily smoke tests and log bugs with repro steps • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
28,2026-02-12,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Assist Smit on backend tickets when blockers appear,"Assist Smit on backend tickets when blockers appear • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
29,2026-02-13,Core Build,"Ops/QA/Marketing + overflow dev support (took over Isha assignments). Owns testing, content operations, marketing deliverables; assists Smit when workload spikes.",Draft 5 ad scripts EN + FR + shotlists and posting plan,"Draft 5 ad scripts EN + FR + shotlists and posting plan • Close yesterday's open items; update tracker with status and links • End-of-day handoff: blockers, next actions, and ETA for open items",QA report + bug list / content pack link
